n,EventType,Timestamp,DeviceID,User ID,Details,Value
1,ОшибкаПитания,01.10.2023 12:46,Постомат17,Пользователь31,ОшибкаПитания произошла в Постомат17,Аварийное отключение
2,ОжиданиеПользователя,01.10.2023 12:08,Постомат25,Пользователь2,ОжиданиеПользователя произошла в Постомат25,Ожидание действия
3,ОтказВОбслуживании,01.10.2023 11:39,Постомат15,Пользователь29,ОтказВОбслуживании произошла в Постомат15,Сбой ПО
4,Предупреждение,01.10.2023 12:00,Постомат6,Пользователь22,Предупреждение произошла в Постомат6,Ошибка соединения
5,ПерезагрузкаУстройства,01.10.2023 11:11,Постомат25,Пользователь43,ПерезагрузкаУстройства произошла в Постомат25,Перезагрузка устройства
6,ОшибкаВыдачиОтправления,01.10.2023 11:31,Постомат21,Пользователь3,ОшибкаВыдачиОтправления произошла в Постомат21,Дверца не открылась
7,ПерезагрузкаУстройства,01.10.2023 12:12,Постомат14,Пользователь42,ПерезагрузкаУстройства произошла в Постомат14,Перезагрузка устройства
8,ОшибкаПитания,01.10.2023 12:42,Постомат13,Пользователь33,ОшибкаПитания произошла в Постомат13,Аварийное отключение
9,Предупреждение,01.10.2023 11:19,Постомат8,Пользователь50,Предупреждение произошла в Постомат8,Ошибка соединения
10,ОшибкаВыдачиОтправления,01.10.2023 11:50,Постомат8,Пользователь6,ОшибкаВыдачиОтправления произошла в Постомат8,Замок заблокирован
11,ОшибкаСканера,01.10.2023 12:58,Постомат6,Пользователь14,ОшибкаСканера произошла в Постомат6,Не удалось считать код
12,ОжиданиеПользователя,01.10.2023 11:36,Постомат20,Пользователь17,ОжиданиеПользователя произошла в Постомат20,Ожидание действия
13,ОжиданиеПользователя,01.10.2023 12:08,Постомат14,Пользователь50,ОжиданиеПользователя произошла в Постомат14,Ожидание действия
14,ОжиданиеПользователя,01.10.2023 12:05,Постомат2,Пользователь40,ОжиданиеПользователя произошла в Постомат2,Ожидание действия
15,ОтказВОбслуживании,01.10.2023 12:48,Постомат2,Пользователь19,ОтказВОбслуживании произошла в Постомат2,Сбой ПО
16,ОшибкаПитания,01.10.2023 13:00,Постомат7,Пользователь26,ОшибкаПитания произошла в Постомат7,Аварийное отключение
17,ОжиданиеПользователя,01.10.2023 12:45,Постомат1,Пользователь23,ОжиданиеПользователя произошла в Постомат1,Ожидание действия
18,ОшибкаПитания,01.10.2023 12:00,Постомат16,Пользователь30,ОшибкаПитания произошла в Постомат16,Аварийное отключение
19,ПроверкаСостоянияСвязи,01.10.2023 11:27,Постомат8,Пользователь15,ПроверкаСостоянияСвязи произошла в Постомат8,Связь стабильная
20,ПроверкаЯчеек,01.10.2023 12:05,Постомат24,Пользователь15,ПроверкаЯчеек произошла в Постомат24,Все в порядке
21,ОтказВОбслуживании,01.10.2023 12:57,Постомат3,Пользователь21,ОтказВОбслуживании произошла в Постомат3,Сбой ПО
